ID,Segment
TRAIN_000002,C
TRAIN_000007,E
TRAIN_000011,E
TRAIN_000016,E
TRAIN_000024,E
TRAIN_000026,E
TRAIN_000030,E
TRAIN_000031,E
TRAIN_000041,D
TRAIN_000049,C
TRAIN_000053,E
TRAIN_000054,E
TRAIN_000076,E
TRAIN_000079,D
TRAIN_000083,E
TRAIN_000085,E
TRAIN_000087,E
TRAIN_000088,E
TRAIN_000089,E
TRAIN_000103,C
TRAIN_000106,E
TRAIN_000110,E
TRAIN_000111,E
TRAIN_000112,E
TRAIN_000114,E
TRAIN_000115,E
TRAIN_000117,E
TRAIN_000119,E
TRAIN_000122,E
TRAIN_000123,E
TRAIN_000124,E
TRAIN_000128,E
TRAIN_000130,D
TRAIN_000139,E
TRAIN_000142,E
TRAIN_000143,E
TRAIN_000155,E
TRAIN_000161,E
TRAIN_000164,E
TRAIN_000170,D
TRAIN_000176,E
TRAIN_000177,E
TRAIN_000180,E
TRAIN_000183,E
TRAIN_000185,E
TRAIN_000186,E
TRAIN_000195,E
TRAIN_000201,E
TRAIN_000204,E
TRAIN_000211,D
TRAIN_000214,E
TRAIN_000221,E
TRAIN_000222,E
TRAIN_000223,D
TRAIN_000237,E
TRAIN_000238,E
TRAIN_000239,E
TRAIN_000256,D
TRAIN_000260,E
TRAIN_000261,C
TRAIN_000264,E
TRAIN_000270,E
TRAIN_000272,E
TRAIN_000282,E
TRAIN_000286,E
TRAIN_000288,E
TRAIN_000298,E
TRAIN_000305,E
TRAIN_000307,E
TRAIN_000313,E
TRAIN_000314,D
TRAIN_000316,E
TRAIN_000317,E
TRAIN_000319,E
TRAIN_000321,E
TRAIN_000326,E
TRAIN_000328,D
TRAIN_000333,D
TRAIN_000341,E
TRAIN_000351,E
TRAIN_000355,D
TRAIN_000356,D
TRAIN_000358,E
TRAIN_000361,D
TRAIN_000362,E
TRAIN_000365,E
TRAIN_000369,E
TRAIN_000371,D
TRAIN_000376,E
TRAIN_000378,E
TRAIN_000380,D
TRAIN_000384,E
TRAIN_000386,C
TRAIN_000387,D
TRAIN_000389,E
TRAIN_000391,E
TRAIN_000393,E
TRAIN_000396,E
TRAIN_000402,E
TRAIN_000413,E
TRAIN_000416,E
TRAIN_000417,E
TRAIN_000419,E
TRAIN_000427,E
TRAIN_000436,E
TRAIN_000438,D
TRAIN_000442,E
TRAIN_000445,E
TRAIN_000450,E
TRAIN_000452,E
TRAIN_000459,D
TRAIN_000460,E
TRAIN_000465,C
TRAIN_000466,E
TRAIN_000470,D
TRAIN_000471,E
TRAIN_000472,E
TRAIN_000475,E
TRAIN_000482,E
TRAIN_000483,E
TRAIN_000488,E
TRAIN_000494,E
TRAIN_000499,E
TRAIN_000501,E
TRAIN_000502,E
TRAIN_000508,D
TRAIN_000511,E
TRAIN_000517,E
TRAIN_000519,E
TRAIN_000523,E
TRAIN_000524,E
TRAIN_000528,D
TRAIN_000529,E
TRAIN_000531,E
TRAIN_000532,E
TRAIN_000536,E
TRAIN_000539,E
TRAIN_000544,E
TRAIN_000546,E
TRAIN_000549,E
TRAIN_000550,E
TRAIN_000555,E
TRAIN_000569,E
TRAIN_000578,C
TRAIN_000586,D
TRAIN_000587,E
TRAIN_000589,E
TRAIN_000591,E
TRAIN_000593,C
TRAIN_000595,E
TRAIN_000596,C
TRAIN_000603,E
TRAIN_000612,E
TRAIN_000616,E
TRAIN_000629,E
TRAIN_000630,E
TRAIN_000632,E
TRAIN_000633,E
TRAIN_000634,E
TRAIN_000652,E
TRAIN_000658,E
TRAIN_000660,E
TRAIN_000662,E
TRAIN_000663,D
TRAIN_000666,E
TRAIN_000667,E
TRAIN_000671,E
TRAIN_000679,E
TRAIN_000691,E
TRAIN_000696,E
TRAIN_000700,D
TRAIN_000701,C
TRAIN_000703,E
TRAIN_000704,E
TRAIN_000705,E
TRAIN_000710,E
TRAIN_000711,E
TRAIN_000715,E
TRAIN_000720,D
TRAIN_000730,E
TRAIN_000731,E
TRAIN_000735,E
TRAIN_000742,E
TRAIN_000751,E
TRAIN_000753,C
TRAIN_000772,E
TRAIN_000773,E
TRAIN_000776,E
TRAIN_000779,E
TRAIN_000780,D
TRAIN_000782,E
TRAIN_000788,D
TRAIN_000789,E
TRAIN_000790,E
TRAIN_000795,D
TRAIN_000797,E
TRAIN_000798,E
TRAIN_000800,C
TRAIN_000802,E
TRAIN_000809,E
TRAIN_000812,E
TRAIN_000820,E
TRAIN_000831,D
TRAIN_000843,D
TRAIN_000847,E
TRAIN_000852,E
TRAIN_000853,E
TRAIN_000859,E
TRAIN_000862,E
TRAIN_000863,E
TRAIN_000867,E
TRAIN_000868,E
TRAIN_000869,E
TRAIN_000874,E
TRAIN_000875,E
TRAIN_000877,E
TRAIN_000879,E
TRAIN_000880,D
TRAIN_000883,E
TRAIN_000884,C
TRAIN_000886,E
