iter	Passed	Remaining
0	161	241779
1	233	174537
2	303	151201
3	328	122755
4	340	101852
5	353	88000
6	364	77824
7	376	70243
8	389	64470
9	400	59706
10	412	55879
11	425	52711
12	436	49934
13	448	47610
14	460	45584
15	472	43858
16	485	42367
17	496	40883
18	508	39645
19	520	38526
20	534	37635
21	547	36786
22	559	35909
23	570	35111
24	583	34440
25	595	33757
26	608	33185
27	622	32703
28	634	32169
29	647	31725
30	660	31305
31	673	30917
32	685	30456
33	698	30096
34	710	29723
35	723	29402
36	735	29087
37	749	28833
38	759	28459
39	772	28207
40	782	27858
41	796	27635
42	808	27382
43	820	27154
44	833	26965
45	845	26727
46	855	26454
47	868	26267
48	880	26066
49	890	25827
50	902	25635
51	913	25441
52	926	25296
53	939	25162
54	951	25011
55	964	24864
56	975	24686
57	985	24497
58	998	24380
59	1008	24214
60	1020	24081
61	1034	23991
62	1045	23856
63	1057	23733
64	1070	23642
65	1082	23514
66	1094	23400
67	1105	23277
68	1118	23197
69	1128	23056
70	1140	22954
71	1150	22823
72	1162	22716
73	1175	22658
74	1186	22552
75	1199	22465
76	1210	22369
77	1220	22254
78	1232	22163
79	1244	22091
80	1256	22008
81	1267	21911
82	1277	21801
83	1288	21722
84	1299	21639
85	1311	21558
86	1322	21485
87	1335	21428
88	1348	21373
89	1357	21269
90	1369	21210
91	1380	21132
92	1391	21057
93	1404	21008
94	1415	20939
95	1426	20857
96	1437	20785
97	1449	20740
98	1462	20699
99	1472	20614
100	1482	20538
101	1494	20488
102	1507	20445
103	1517	20363
104	1528	20300
105	1539	20243
106	1549	20167
107	1560	20111
108	1570	20040
109	1582	19997
110	1594	19952
111	1605	19893
112	1616	19845
113	1628	19803
114	1639	19748
115	1651	19702
116	1662	19657
117	1673	19601
118	1683	19535
119	1694	19490
120	1707	19458
121	1719	19417
122	1729	19358
123	1741	19325
124	1753	19292
125	1764	19243
126	1777	19214
127	1787	19154
128	1799	19122
129	1812	19099
130	1825	19073
131	1835	19023
132	1846	18979
133	1859	18952
134	1870	18911
135	1882	18878
136	1891	18819
137	1903	18789
138	1914	18745
139	1925	18704
140	1936	18664
141	1946	18611
142	1956	18570
143	1969	18545
144	1980	18504
145	1990	18456
146	2000	18408
147	2012	18381
148	2023	18342
149	2035	18321
150	2046	18282
151	2056	18240
152	2068	18206
153	2080	18179
154	2091	18148
155	2102	18113
156	2112	18070
157	2124	18046
158	2134	18005
159	2144	17963
160	2156	17934
161	2168	17910
162	2178	17865
163	2188	17826
164	2198	17784
165	2209	17758
166	2222	17738
167	2233	17707
168	2243	17671
169	2254	17641
170	2267	17623
171	2280	17604
172	2290	17573
173	2300	17531
174	2313	17514
175	2325	17494
176	2336	17465
177	2348	17441
178	2360	17419
179	2370	17384
180	2381	17357
181	2392	17325
182	2402	17290
183	2413	17262
184	2425	17239
185	2435	17203
186	2447	17183
187	2458	17157
188	2468	17122
189	2480	17101
190	2491	17076
191	2503	17055
192	2514	17030
193	2524	16995
194	2536	16972
195	2548	16953
196	2559	16926
197	2569	16894
198	2579	16865
199	2592	16854
200	2603	16824
201	2614	16801
202	2624	16767
203	2634	16733
204	2645	16711
205	2657	16690
206	2666	16657
207	2676	16624
208	2687	16600
209	2699	16584
210	2710	16557
211	2721	16535
212	2733	16513
213	2742	16482
214	2754	16461
215	2764	16433
216	2774	16403
217	2785	16383
218	2797	16365
219	2808	16337
220	2819	16319
221	2831	16298
222	2841	16273
223	2854	16260
224	2866	16241
225	2878	16224
226	2888	16201
227	2898	16168
228	2909	16146
229	2920	16126
230	2930	16097
231	2940	16068
232	2950	16044
233	2962	16026
234	2973	16004
235	2983	15977
236	2993	15951
237	3004	15933
238	3017	15920
239	3027	15893
240	3038	15873
241	3049	15853
242	3060	15830
243	3071	15810
244	3082	15791
245	3095	15779
246	3105	15755
247	3117	15736
248	3130	15728
249	3140	15704
250	3152	15686
251	3162	15664
252	3173	15639
253	3182	15612
254	3194	15594
255	3205	15576
256	3215	15553
257	3226	15534
258	3237	15510
259	3249	15495
260	3260	15478
261	3270	15455
262	3282	15440
263	3295	15428
264	3306	15407
265	3316	15383
266	3325	15356
267	3336	15338
268	3346	15313
269	3356	15288
270	3365	15264
271	3375	15240
272	3386	15221
273	3397	15202
274	3407	15180
275	3419	15166
276	3430	15146
277	3441	15127
278	3451	15105
279	3463	15092
280	3474	15071
281	3486	15058
282	3498	15044
283	3510	15031
284	3521	15012
285	3531	14989
286	3541	14967
287	3551	14944
288	3561	14924
289	3573	14908
290	3584	14891
291	3594	14869
292	3605	14851
293	3617	14838
294	3627	14818
295	3639	14803
296	3650	14787
297	3661	14769
298	3671	14746
299	3682	14730
300	3692	14710
301	3703	14692
302	3714	14672
303	3723	14648
304	3733	14628
305	3744	14610
306	3754	14591
307	3765	14574
308	3776	14555
309	3787	14538
310	3797	14520
311	3808	14501
312	3820	14488
313	3830	14469
314	3841	14452
315	3851	14431
316	3864	14421
317	3875	14403
318	3884	14382
319	3896	14366
320	3909	14358
321	3921	14346
322	3932	14331
323	3943	14312
324	3954	14297
325	3965	14279
326	3978	14271
327	3989	14255
328	3999	14236
329	4010	14219
330	4021	14203
331	4031	14183
332	4043	14171
333	4054	14155
334	4065	14139
335	4077	14125
336	4088	14110
337	4100	14095
338	4110	14079
339	4121	14059
340	4132	14045
341	4142	14026
342	4153	14008
343	4163	13992
344	4175	13977
345	4184	13957
346	4195	13939
347	4204	13919
348	4214	13898
349	4225	13883
350	4235	13866
351	4246	13850
352	4258	13837
353	4268	13819
354	4280	13805
355	4291	13789
356	4301	13771
357	4311	13754
358	4322	13736
359	4333	13721
360	4344	13708
361	4357	13698
362	4368	13683
363	4380	13669
364	4389	13650
365	4402	13640
366	4413	13626
367	4423	13607
368	4436	13596
369	4445	13575
370	4455	13557
371	4466	13544
372	4476	13524
373	4487	13509
374	4498	13496
375	4511	13486
376	4521	13467
377	4532	13452
378	4544	13440
379	4555	13426
380	4565	13408
381	4577	13398
382	4588	13382
383	4599	13366
384	4610	13351
385	4621	13337
386	4631	13319
387	4643	13307
388	4654	13293
389	4666	13281
390	4676	13264
391	4686	13245
392	4697	13230
393	4708	13217
394	4719	13201
395	4728	13182
396	4738	13164
397	4751	13155
398	4762	13141
399	4773	13127
400	4783	13111
401	4794	13095
402	4804	13077
403	4814	13061
404	4824	13045
405	4835	13030
406	4846	13015
407	4855	12996
408	4867	12982
409	4877	12967
410	4888	12952
411	4897	12934
412	4909	12922
413	4921	12909
414	4931	12893
415	4942	12880
416	4952	12861
417	4963	12849
418	4975	12835
419	4986	12821
420	4997	12808
421	5008	12793
422	5019	12779
423	5030	12766
424	5041	12752
425	5052	12737
426	5064	12727
427	5075	12712
428	5086	12697
429	5097	12684
430	5107	12668
431	5117	12652
432	5128	12638
433	5139	12623
434	5149	12606
435	5159	12592
436	5170	12576
437	5182	12564
438	5192	12549
439	5204	12537
440	5214	12521
441	5225	12508
442	5237	12495
443	5246	12479
444	5256	12461
445	5266	12446
446	5276	12428
447	5288	12417
448	5299	12404
449	5310	12391
450	5325	12387
451	5339	12381
452	5351	12368
453	5362	12355
454	5373	12340
455	5384	12326
456	5395	12313
457	5408	12303
458	5419	12290
459	5430	12276
460	5440	12262
461	5450	12246
462	5461	12231
463	5472	12218
464	5483	12206
465	5493	12189
466	5503	12174
467	5513	12158
468	5524	12144
469	5535	12131
470	5546	12116
471	5556	12102
472	5566	12087
473	5576	12070
474	5587	12057
475	5598	12043
476	5609	12029
477	5621	12018
478	5631	12003
479	5642	11989
480	5651	11972
481	5662	11959
482	5672	11944
483	5683	11931
484	5695	11918
485	5705	11904
486	5717	11892
487	5728	11878
488	5738	11864
489	5749	11851
490	5758	11834
491	5769	11819
492	5780	11807
493	5791	11793
494	5802	11781
495	5814	11769
496	5826	11758
497	5838	11746
498	5848	11732
499	5859	11718
500	5870	11705
501	5885	11700
502	5895	11685
503	5905	11670
504	5915	11655
